#{"t_start": 1615578131.9386325, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-37.027327,70,172.949387
-48.659961,80,174.429516
-38.281219,72,174.659228
-31.046138,70,174.859268
-43.368082,76,175.079281
-39.942872,75,176.319558
-29.343029,74,176.52929
-39.418702,74,176.749617
-26.026801,71,176.949634
-33.25884,72,177.159588
-35.365675,68,177.359614
-32.343547,73,177.56973
-34.486665,74,177.779349
-27.591858,67,177.975342
-18.703564,75,178.189502
-28.722636,61,178.369411
-42.326524,78,178.58959
-42.162237,68,178.779543
-25.881172,68,178.979692
-39.090002,76,180.31935
-39.214843,81,180.559259
-42.529372,77,180.779243
-59.300141,82,181.019755
-22.165018,63,181.209288
-30.429041,69,181.409404
-28.816936,73,181.619287
-39.402234,78,181.849278
-31.502991,85,182.099259
-57.608719,78,182.319345
-34.604929,74,183.802102
-19.579824,77,184.029269
-24.900193,76,184.259431
-42.63611,74,185.559584
-35.511748,83,185.809565
-33.443246,77,186.029239
-23.797885,66,186.229415
-40.402273,71,186.459599
-25.384096,75,186.709565
-51.861158,76,186.929589
-44.203659,76,187.149668
-33.328027,76,187.369276
-33.552754,71,187.579508
-26.198594,65,187.769308
-59.358336,76,187.989437
-32.949,71,188.199599
-36.495964,78,188.429621
-47.407172,72,189.659345
-25.67806,76,189.869317
-29.568313,69,190.069416
-43.609276,82,190.309243
-31.476995,66,190.50932
-20.800361,63,190.699533
-30.461753,77,190.949105
-22.839437,73,191.179242
-34.885894,73,191.389557
-45.288683,78,191.609196
-40.570031,78,191.83954
-19.390376,74,193.29941
-39.537936,73,193.509612
-33.392988,76,194.729462
-32.778569,71,194.93967
-19.592033,69,195.139595
-30.514156,79,195.374545
-23.955109,72,195.584346
-45.7325,72,195.799632
-33.692067,77,196.023062
-44.854931,79,196.259454
-23.815474,73,196.499542
-31.34497,62,196.679296
-37.095002,72,196.889335
-56.655049,78,197.124259
-44.703168,73,197.339516
-33.852471,71,197.549271
-24.165912,68,198.749229
-55.352725,87,199.009188
-34.597122,77,199.229325
-38.075641,73,199.449375
-28.178586,70,199.659232
-27.506008,73,199.879253
-43.808995,67,200.069433
-42.563393,74,200.289591
-35.915698,77,200.519227
-32.482864,67,200.729189
-44.510876,82,200.989288
-31.075167,71,201.209331
-24.864097,75,202.659417
-37.642988,74,203.809269
-31.626039,67,203.999166
-17.726155,71,204.219614
-45.216382,84,204.499208
-44.044911,74,204.729244
-35.543109,74,204.949409
-20.435279,74,205.1796
-31.279605,80,205.41935
-18.030611,69,205.639287
-42.483441,77,205.88925
-26.20757,70,206.109277
-23.418517,83,206.369271
-30.739251,73,206.609274
-33.097633,73,206.849188
-38.46436,68,208.129174
-26.890046,76,208.359176
-22.524951,79,208.599145
-53.544483,76,208.835206
-28.831645,78,209.069261
-42.843838,78,209.309196
-41.111767,74,209.535668
-33.337862,63,209.70935
-20.703043,64,209.90924
-20.008693,72,210.139405
-26.347058,72,210.379145
-38.198279,67,210.609241
-53.322897,79,212.144012
-34.792989,67,212.399383
-35.267065,74,213.709549
-10.316107,79,213.959569
-31.519843,77,214.199339
-25.90478,80,214.429424
-47.743259,83,214.669317
-28.228256,72,214.879458
-22.615871,75,215.099456
-29.3969,78,215.34926
-49.42106,78,215.589559
-28.61463,75,215.809078
-47.232484,76,216.040288
-29.35686,71,216.249486
-29.597697,82,216.499374
-22.687878,60,217.709242
-28.955268,61,217.909158
-31.814999,75,218.119218
-48.043273,84,218.379479
-23.051293,67,218.579325
-27.189835,79,218.824604
-27.915297,72,219.0411
-29.833158,72,219.249588
-58.408714,83,219.489227
-34.535349,82,219.741283
-41.571251,77,219.989195
-23.483962,62,220.179707
-17.493164,70,220.379681
-31.857799,65,222.919417
-25.433034,74,223.129437
-24.803948,61,223.309488
-32.231577,68,223.519282
-37.970612,73,223.729342
-30.059905,71,223.939147
-31.656962,74,224.169442
-52.541727,78,224.399267
-14.328898,68,224.599377
-33.844091,78,224.839205
-17.723637,74,225.089381
-35.715085,80,225.359346
-15.533868,63,225.5692
-24.679932,64,225.764092
-22.424547,67,225.959132
-21.492546,67,227.119562
-28.03683,78,227.349531
-40.387623,90,227.609151
-24.162453,67,227.809247
-16.384552,61,227.989384
-24.657671,64,228.179457
-24.550971,77,228.409598
-59.491753,95,228.699527
-20.832045,75,228.91916
-30.858456,75,229.13925
-42.342928,70,229.350477
-17.411559,65,229.539221
-27.081704,74,229.769592
-29.903914,69,232.249434
-28.899266,81,232.50916
-25.443925,77,232.729349
-28.57151,75,232.949271
-21.885083,62,233.129393
-22.907776,76,233.349446
-48.915134,76,233.569382
-25.501258,79,233.799426
-16.826092,76,234.029492
-25.184984,73,234.23928
-37.961144,82,234.479567
-36.113935,71,234.689579
-51.921622,71,234.904155
-33.618135,68,235.09934
-22.554224,69,236.339136
-24.876336,68,236.549234
-38.389709,69,236.759523
-47.210885,71,236.969227
-38.955947,71,237.179233
-35.300706,75,237.399619
-43.573177,75,237.619151
-24.828368,61,237.789646
-37.357692,75,238.009288
-29.452734,69,238.219413
-43.17075,80,238.449292
-18.418283,79,238.679228
-15.316964,79,238.909019
-27.416294,71,240.129195
-24.730815,66,241.542811
-30.963358,74,241.799268
-26.695866,73,242.029287
-27.023966,73,242.249537
-39.74433,79,242.469518
-39.548428,81,242.709486
-23.29406,66,242.89918
-36.44817,75,243.11927
-39.90511,85,243.369342
-35.895417,69,243.56922
-22.364339,65,243.76434
-37.463785,74,243.989078
-38.687894,69,244.199484
-50.00037,82,245.449132
-26.908207,71,245.659113
-41.651186,77,245.879117
-33.63076,67,246.079278
-56.399204,84,246.389154
-27.857373,77,246.629119
-46.72506,78,246.889246
-36.471522,80,247.159041
-31.837393,78,247.429106
-29.898919,75,247.649545
-36.533612,82,247.869511
-29.865767,80,248.09937
-27.626212,73,248.309468
-26.621546,79,249.539164
-14.517276,72,250.919467
-28.609106,68,251.171755
-36.259257,69,251.365676
-55.005262,75,251.569031
-27.627042,65,251.749567
-40.956894,76,251.959164
-26.818059,73,252.156573
-13.762284,75,252.359541
-32.1119,67,252.539108
-30.214139,74,252.749223
-53.166204,81,252.979225
-28.809561,73,253.179516
-29.251205,75,253.389526
-14.350533,76,254.51943
-48.592654,74,254.729364
-27.181813,75,254.939579
-25.155781,70,255.134204
-44.49966,80,255.359291
-34.509659,74,255.559497
-34.463553,76,255.779396
-36.448324,70,255.974606
-28.750912,73,256.189296
-30.551258,70,256.419267
-35.848293,70,256.613786
-24.126803,72,256.819286
-45.373099,76,257.029602
-22.874408,71,258.119525
-26.372952,69,258.309597
-28.79659,76,258.509555
-32.504344,75,259.883156
-22.442942,74,260.084894
-16.956719,71,260.279289
-33.236211,88,260.539175
-56.028039,82,260.769136
-32.270778,78,260.979324
-47.623747,80,261.209182
-35.1376,65,261.389257
-37.060158,74,261.580853
-39.083126,79,261.889439
-30.301701,78,262.10945
-21.862241,79,263.239183
-25.438076,70,263.432297
-35.271448,67,263.609661
-48.93199,81,263.830111
-35.34012,66,264.009647
-42.149191,76,264.211574
-30.327307,76,264.419712
-31.263599,68,264.599613
-20.345975,76,264.803144
-16.021042,76,265.009381
-27.923415,76,265.209912
-23.171165,66,265.393553
-25.934659,68,265.569377
-32.367111,67,266.669399
-27.598186,70,266.879574
-33.351024,73,267.089817
